State,County,PVCZ,Independent City
DC,District of Columbia,T7:H4,No
DE,Kent,T7:H4,No
DE,New Castle,T7:H4,No
DE,Sussex,T7:H4,No
MD,Allegany,T7:H4,No
MD,Anne Arundel,T7:H4,No
MD,Baltimore,T7:H4,No
MD,Baltimore City,T7:H4,Yes
MD,Calvert,T7:H4,No
MD,Caroline,T7:H4,No
MD,Carroll,T7:H4,No
MD,Cecil,T7:H4,No
MD,Charles,T8:H4,No
MD,Dorchester,T7:H4,No
MD,Frederick,T7:H4,No
MD,Garrett,T6:H4,No
MD,Harford,T7:H4,No
MD,Howard,T7:H4,No
MD,Kent,T7:H4,No
MD,Montgomery,T7:H4,No
MD,Prince Georges,T7:H4,No
MD,Queen Annes,T7:H4,No
MD,Somerset,T7:H4,No
MD,St Marys,T7:H4,No
MD,Talbot,T7:H4,No
MD,Washington,T7:H4,No
MD,Wicomico,T7:H4,No
MD,Worcester,T7:H4,No
NC,Alamance,T8:H4,No
NC,Alexander,T8:H4,No
NC,Alleghany,T7:H4,No
NC,Anson,T8:H4,No
NC,Ashe,T7:H4,No
NC,Avery,T7:H4,No
NC,Beaufort,T8:H4,No
NC,Bertie,T8:H4,No
NC,Bladen,T8:H4,No
NC,Brunswick,T8:H4,No
NC,Buncombe,T8:H4,No
NC,Burke,T8:H4,No
NC,Cabarrus,T8:H4,No
NC,Caldwell,T8:H4,No
NC,Camden,T7:H4,No
NC,Carteret,T8:H4,No
NC,Caswell,T8:H4,No
NC,Catawba,T8:H4,No
NC,Chatham,T8:H4,No
NC,Cherokee,T7:H4,No
NC,Chowan,T8:H4,No
NC,Clay,T8:H4,No
NC,Cleveland,T8:H4,No
NC,Columbus,T8:H4,No
NC,Craven,T8:H4,No
NC,Cumberland,T8:H4,No
NC,Currituck,T7:H4,No
NC,Dare,T8:H4,No
NC,Davidson,T8:H4,No
NC,Davie,T8:H4,No
NC,Duplin,T8:H4,No
NC,Durham,T8:H4,No
NC,Edgecombe,T8:H4,No
NC,Forsyth,T8:H4,No
NC,Franklin,T8:H4,No
NC,Gaston,T8:H4,No
NC,Gates,T8:H4,No
NC,Graham,T8:H4,No
NC,Granville,T8:H4,No
NC,Greene,T8:H4,No
NC,Guilford,T8:H4,No
NC,Halifax,T8:H4,No
NC,Harnett,T8:H4,No
NC,Haywood,T7:H4,No
NC,Henderson,T8:H4,No
NC,Hertford,T8:H4,No
NC,Hoke,T8:H4,No
NC,Hyde,T8:H4,No
NC,Iredell,T8:H4,No
NC,Jackson,T7:H4,No
NC,Johnston,T8:H4,No
NC,Jones,T8:H4,No
NC,Lee,T8:H4,No
NC,Lenoir,T8:H4,No
NC,Lincoln,T8:H4,No
NC,Macon,T8:H4,No
NC,Madison,T7:H4,No
NC,Martin,T8:H4,No
NC,McDowell,T8:H4,No
NC,Mecklenburg,T8:H4,No
NC,Mitchell,T7:H4,No
NC,Montgomery,T8:H4,No
NC,Moore,T8:H4,No
NC,Nash,T8:H4,No
NC,New Hanover,T8:H4,No
