PVCZ,Cohort,Avg System Size (kW),Midpoint Year,Cohort Midyear,$/Watt (Dynamic),Estimated Initial Cost ($),Mean Rebate ($),Estimated Net Initial Cost ($)
T6:H4,2000–2004,3.6,2002,,,,,
T6:H4,2005–2009,6.05,2007,,,,,
T6:H4,2010–2014,7.56,2012,2012.0,5.334284919749081,40327.19,6041.237025,34285.952975
T6:H4,2015–2019,10.01,2017,2017.0,3.1872323196493015,31904.2,501.005805,31403.194195
T6:H4,2020–2024,10.98,2022,2022.0,2.2424468864602414,24622.07,897.346517,23724.723483
T7:H4,1995–1999,2.31,1997,,,,,
T7:H4,2000–2004,6.36,2002,,,,,
T7:H4,2005–2009,7.18,2007,,,,,
T7:H4,2010–2014,7.69,2012,2012.0,5.334284919749081,41020.65,6041.237025,34979.412975
T7:H4,2015–2019,8.48,2017,2017.0,3.1872323196493015,27027.73,501.005805,26526.724195
T7:H4,2020–2024,9.07,2022,2022.0,2.2424468864602414,20338.99,897.346517,19441.643483
T8:H4,2000–2004,1.44,2002,,,,,
T8:H4,2005–2009,4.92,2007,,,,,
T8:H4,2010–2014,7.71,2012,2012.0,5.334284919749081,41127.34,6041.237025,35086.102974999994
T8:H4,2015–2019,8.88,2017,2017.0,3.1872323196493015,28302.62,501.005805,27801.614195
T8:H4,2020–2024,9.24,2022,2022.0,2.2424468864602414,20720.21,897.346517,19822.863483
