PVCZ,Cohort,Start Year,Replacement Year,System Age,Base NPV,Replacement NPV,Difference (Replacement - Base)
T6:H4,2010–2014,2012.5,2017.5,5.0,-21647.5,-42233.76,-20586.26
T6:H4,2010–2014,2012.5,2018.5,6.0,-21647.5,-39140.67,-17493.17
T6:H4,2010–2014,2012.5,2019.5,7.0,-21647.5,-36595.64,-14948.14
T6:H4,2010–2014,2012.5,2020.5,8.0,-21647.5,-34498.57,-12851.07
T6:H4,2010–2014,2012.5,2021.5,9.0,-21647.5,-32768.27,-11120.77
T6:H4,2010–2014,2012.5,2022.5,10.0,-21647.5,-31338.91,-9691.41
T6:H4,2010–2014,2012.5,2023.5,11.0,-21647.5,-30157.04,-8509.54
T6:H4,2010–2014,2012.5,2024.5,12.0,-21647.5,-29179.23,-7531.73
T6:H4,2010–2014,2012.5,2025.5,13.0,-21647.5,-28370.19,-6722.69
T6:H4,2010–2014,2012.5,2026.5,14.0,-21647.5,-27701.18,-6053.68
T6:H4,2010–2014,2012.5,2027.5,15.0,-21647.5,-27148.8,-5501.3
T6:H4,2010–2014,2012.5,2028.5,16.0,-21647.5,-26693.96,-5046.46
T6:H4,2010–2014,2012.5,2029.5,17.0,-21647.5,-26321.04,-4673.54
T6:H4,2010–2014,2012.5,2030.5,18.0,-21647.5,-26017.28,-4369.78
T6:H4,2010–2014,2012.5,2031.5,19.0,-21647.5,-25772.2,-4124.7
T6:H4,2010–2014,2012.5,2032.5,20.0,-21647.5,-25577.19,-3929.69
T6:H4,2010–2014,2012.5,2033.5,21.0,-21647.5,-25425.15,-3777.65
T6:H4,2010–2014,2012.5,2034.5,22.0,-21647.5,-25364.07,-3716.57
T6:H4,2010–2014,2012.5,2035.5,23.0,-21647.5,-25332.67,-3685.17
T6:H4,2010–2014,2012.5,2036.5,24.0,-21647.5,-25327.03,-3679.53
T6:H4,2010–2014,2012.5,2037.5,25.0,-21647.5,-25343.89,-3696.39
T6:H4,2010–2014,2012.5,2038.5,26.0,-21647.5,-25380.52,-3733.02
T6:H4,2010–2014,2012.5,2039.5,27.0,-21647.5,-25434.63,-3787.13
T6:H4,2010–2014,2012.5,2040.5,28.0,-21647.5,-25504.31,-3856.81
T6:H4,2010–2014,2012.5,2041.5,29.0,-21647.5,-25587.92,-3940.42
T6:H4,2015–2019,2017.5,2022.5,5.0,-14015.63,-30376.84,-16361.21
T6:H4,2015–2019,2017.5,2023.5,6.0,-14015.63,-28520.89,-14505.26
T6:H4,2015–2019,2017.5,2024.5,7.0,-14015.63,-26945.64,-12930.01
T6:H4,2015–2019,2017.5,2025.5,8.0,-14015.63,-25603.6,-11587.97
T6:H4,2015–2019,2017.5,2026.5,9.0,-14015.63,-24456.07,-10440.44
T6:H4,2015–2019,2017.5,2027.5,10.0,-14015.63,-23471.47,-9455.84
T6:H4,2015–2019,2017.5,2028.5,11.0,-14015.63,-22624.0,-8608.37
