Year,Scenario,PVCZ,Expected EoL Systems,Smoothed EoL Systems
2025,Scenario 1,T6:H4,237.40955542371722,151.15991298185702
2025,Scenario 1,T7:H4,21231.978030194594,12971.340293043084
2025,Scenario 1,T8:H4,632.3240068221792,449.4350447822041
2025,Scenario 2,T6:H4,326.7900442203915,207.76660056036098
2025,Scenario 2,T7:H4,29577.048518763608,18278.331671506414
2025,Scenario 2,T8:H4,872.6452917024403,621.1691501953082
2025,Scenario 3,T6:H4,416.1705330170658,264.37328813886495
2025,Scenario 3,T7:H4,37922.119007332614,23585.323049969735
2025,Scenario 3,T8:H4,1112.9665765827017,792.9032556084123
2026,Scenario 1,T6:H4,64.91027053999683,126.39015363355992
2026,Scenario 1,T7:H4,4710.702555891574,10361.923131044177
2026,Scenario 1,T8:H4,266.54608274222903,406.9902487495046
2026,Scenario 2,T6:H4,88.74315690033046,173.54662076221322
2026,Scenario 2,T7:H4,6979.614824249216,14767.722368635827
2026,Scenario 2,T8:H4,369.69300868817606,565.376746389587
2026,Scenario 3,T6:H4,112.57604326066406,220.70308789086653
2026,Scenario 3,T7:H4,9248.527092606855,19173.52160622747
2026,Scenario 3,T8:H4,472.839934634123,723.7632440296693
2027,Scenario 1,T6:H4,76.85063493696569,75.80252153579914
2027,Scenario 1,T7:H4,5143.088807046364,5111.59948889454
2027,Scenario 1,T8:H4,322.10065668410556,316.44878202519277
2027,Scenario 2,T6:H4,105.10666116591771,104.00137491553004
2027,Scenario 2,T7:H4,7746.503762894655,7704.559662656229
2027,Scenario 2,T8:H4,453.7919387781444,448.22995869659917
2027,Scenario 3,T6:H4,133.36268739486968,132.20022829526093
2027,Scenario 3,T7:H4,10349.918718742942,10297.519836417916
2027,Scenario 3,T8:H4,585.4832208721832,580.0111353680056
2028,Scenario 1,T6:H4,85.6466591304349,84.52673395543611
2028,Scenario 1,T7:H4,5481.007103745681,5453.826963227292
2028,Scenario 1,T8:H4,360.69960664924383,354.346541269548
2028,Scenario 2,T6:H4,118.15430668034192,116.90009690026551
2028,Scenario 2,T7:H4,8387.560400824816,8344.022129633702
2028,Scenario 2,T8:H4,521.204928623477,514.5090775627338
2028,Scenario 3,T6:H4,150.66195423024902,149.27345984509483
2028,Scenario 3,T7:H4,11294.113697903953,11234.217296040115
2028,Scenario 3,T8:H4,681.7102505977107,674.6716138559196
2029,Scenario 1,T6:H4,91.08290779890777,90.28951300878911
2029,Scenario 1,T7:H4,5737.38497888983,5725.317221085702
2029,Scenario 1,T8:H4,380.23936047529486,374.9767418211697
2029,Scenario 2,T6:H4,127.43932285453688,126.43435644203083
2029,Scenario 2,T7:H4,8898.002225181635,8863.62997117659
2029,Scenario 2,T8:H4,568.5303652865798,562.4940410859905
2029,Scenario 3,T6:H4,163.79573791016577,162.57919987527256
2029,Scenario 3,T7:H4,12058.61947147345,12001.942721267473
2029,Scenario 3,T8:H4,756.821370097865,750.0113403508113
2030,Scenario 1,T6:H4,94.13897209702466,93.94607724871491
